CUSTOMER_ID,CUSTOMER_NAME,LAST_ORDER_DATE,FREQUENCY,MONETARY_VALUE,RECENCY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_TOTAL,SEGMENT
TS-21505,Tony Sayre,2014-12-20,27,17613.42,2202,4,5,5,14,Champions
CL-11890,Carl Ludwig,2014-12-18,31,17622.41,2204,4,5,5,14,Champions
BE-11455,Brad Eason,2014-12-28,27,17643.53,2194,5,4,5,14,Champions
DK-13375,Dennis Kane,2014-12-27,26,16258.53,2195,5,4,5,14,Champions
DB-12910,Daniel Byrd,2014-12-29,27,12338.28,2193,5,5,4,14,Champions
EP-13915,Emily Phan,2014-12-19,33,16283.36,2203,4,5,5,14,Champions
SW-20275,Scott Williamson,2014-12-10,33,15564.97,2212,4,5,5,14,Champions
RD-19585,Rob Dowd,2014-12-06,31,16315.11,2216,4,5,5,14,Champions
JP-15520,Jeremy Pistek,2014-12-23,26,16429.05,2199,5,4,5,14,Champions
MD-17350,Maribeth Dona,2014-12-05,30,16455.33,2217,4,5,5,14,Champions
CD-11920,Carlos Daly,2014-12-29,27,18296.75,2193,5,4,5,14,Champions
EH-14005,Erica Hernandez,2014-12-29,28,10374.94,2193,5,5,4,14,Champions
ED-13885,Emily Ducich,2014-12-16,31,18018.88,2206,4,5,5,14,Champions
DP-13390,Dennis Pardue,2014-12-31,27,10282.79,2191,5,5,4,14,Champions
VT-21700,Valerie Takahito,2014-12-24,25,18099.31,2198,5,4,5,14,Champions
JK-15370,Jay Kimmel,2014-12-30,27,10189.51,2192,5,5,4,14,Champions
MG-18145,Mike Gockenbach,2014-12-29,24,18147.96,2193,5,4,5,14,Champions
TT-21460,Tonja Turnell,2014-12-19,32,18432.01,2203,4,5,5,14,Champions
PG-18895,Paul Gonzalez,2014-12-29,28,13941.69,2193,5,5,4,14,Champions
TG-21640,Trudy Glocke,2014-12-26,33,13973.78,2196,5,5,4,14,Champions
SC-20725,Steven Cartwright,2014-12-24,30,13975.42,2198,5,5,4,14,Champions
CC-12430,Chuck Clark,2014-12-31,29,13997.59,2191,5,5,4,14,Champions
DB-13210,Dean Braden,2014-12-24,27,13743.6,2198,5,5,4,14,Champions
ST-20530,Shui Tom,2014-12-25,32,14064.01,2197,5,5,4,14,Champions
JW-16075,Julia West,2014-12-30,25,19852.77,2192,5,4,5,14,Champions
RB-19330,Randy Bradley,2014-12-16,32,18359.77,2206,4,5,5,14,Champions
TS-21610,Troy Staebel,2014-12-11,30,20565.95,2211,4,5,5,14,Champions
MW-18220,Mitch Webber,2014-12-14,28,20592.08,2208,4,5,5,14,Champions
AS-10225,Alan Schoenberger,2014-12-19,28,21366.9,2203,4,5,5,14,Champions
EM-14140,Eugene Moren,2014-12-07,30,21507.29,2215,4,5,5,14,Champions
HG-14845,Harry Greene,2014-12-19,30,21228.55,2203,4,5,5,14,Champions
DJ-13420,Denny Joy,2014-12-09,28,22142.43,2213,4,5,5,14,Champions
MG-17890,Michael Granlund,2014-12-26,29,13162.25,2196,5,5,4,14,Champions
MP-18175,Mike Pelletier,2014-12-15,36,22045.25,2207,4,5,5,14,Champions
YS-21880,Yana Sorensen,2014-12-22,26,18703.61,2200,5,4,5,14,Champions
DL-13330,Denise Leinenbach,2014-12-19,34,16781.63,2203,4,5,5,14,Champions
RP-19390,Resi Pölking,2014-12-16,34,16114.91,2206,4,5,5,14,Champions
SD-20485,Shirley Daniels,2014-12-16,32,16802.06,2206,4,5,5,14,Champions
RA-19285,Ralph Arnett,2014-12-26,24,16816.43,2196,5,4,5,14,Champions
CC-12610,Corey Catlett,2014-12-15,29,16822.64,2207,4,5,5,14,Champions
CK-12205,Chloris Kastensmidt,2014-12-27,38,13625.21,2195,5,5,4,14,Champions
CM-11830,Cari MacIntyre,2014-12-25,24,16828.82,2197,5,4,5,14,Champions
NC-18625,Noah Childs,2014-12-11,29,16901.52,2211,4,5,5,14,Champions
YC-21895,Yoseph Carroll,2014-12-27,27,19998.08,2195,5,4,5,14,Champions
LC-16885,Lena Creighton,2014-12-15,29,17058.81,2207,4,5,5,14,Champions
HG-14965,Henry Goldwyn,2014-12-08,34,16810.69,2214,4,5,5,14,Champions
DK-13150,David Kendrick,2014-12-21,22,15983.71,2201,5,4,5,14,Champions
JH-15985,Joseph Holt,2014-12-20,38,18863.4,2202,4,5,5,14,Champions
DP-13105,Dave Poirier,2014-12-25,25,18930.03,2197,5,4,5,14,Champions
PB-19210,Phillip Breyer,2014-12-23,27,18967.66,2199,5,4,5,14,Champions
BD-11320,Bill Donatelli,2014-12-26,32,13390.27,2196,5,5,4,14,Champions
EB-13975,Erica Bern,2014-12-31,32,13405.6,2191,5,5,4,14,Champions
CS-11950,Carlos Soltero,2014-12-06,31,14222.97,2216,4,5,5,14,Champions
JS-16030,Joy Smith,2014-12-10,32,19218.81,2212,4,5,5,14,Champions
AR-10510,Andrew Roberts,2014-12-17,29,14277.89,2205,4,5,5,14,Champions
KN-16390,Katherine Nockton,2014-12-12,29,19350.15,2210,4,5,5,14,Champions
KH-16360,Katherine Hughes,2014-12-30,28,9983.51,2192,5,5,4,14,Champions
ML-17395,Marina Lichtenstein,2014-12-31,25,14507.08,2191,5,4,5,14,Champions
JH-15820,John Huston,2014-12-18,31,23586.72,2204,4,5,5,14,Champions
AS-10090,Adam Shillingsburg,2014-12-16,32,15009.47,2206,4,5,5,14,Champions
PG-18820,Patrick Gardner,2014-12-11,35,14635.94,2211,4,5,5,14,Champions
JW-15220,Jane Waco,2014-12-19,34,23103.73,2203,4,5,5,14,Champions
SF-20200,Sarah Foster,2014-12-26,28,13019.63,2196,5,5,4,14,Champions
TC-21475,Tony Chapman,2014-12-30,29,10722.53,2192,5,5,4,14,Champions
JB-15400,Jennifer Braxton,2014-12-24,34,13085.5,2198,5,5,4,14,Champions
LA-16780,Laura Armstrong,2014-12-18,34,24273,2204,4,5,5,14,Champions
DP-13165,David Philippe,2014-12-24,25,22211.28,2198,5,4,5,14,Champions
NS-18505,Neola Schneider,2014-12-25,25,14834.29,2197,5,4,5,14,Champions
MC-17425,Mark Cousins,2014-12-08,30,15055.41,2214,4,5,5,14,Champions
LB-16735,Larry Blacks,2014-12-22,29,12686.04,2200,5,5,4,14,Champions
AM-10705,Anne McFarland,2014-12-06,30,24218.56,2216,4,5,5,14,Champions
SZ-20035,Sam Zeldin,2014-12-18,37,15192.38,2204,4,5,5,14,Champions
EB-13840,Ellis Ballard,2014-12-29,25,20188.16,2193,5,4,5,14,Champions
SC-20020,Sam Craven,2014-12-23,34,10579.47,2199,5,5,4,14,Champions
BH-11710,Brosina Hoffman,2014-12-08,31,23537.34,2214,4,5,5,14,Champions
BG-11740,Bruce Geld,2014-12-25,24,14689.34,2197,5,4,5,14,Champions
AC-10615,Ann Chong,2014-12-25,29,12729.72,2197,5,5,4,14,Champions
JL-15130,Jack Lebron,2014-12-23,28,12908.5,2199,5,5,4,14,Champions
SW-20755,Steven Ward,2014-12-16,31,23321.58,2206,4,5,5,14,Champions
RR-19525,Rick Reed,2014-12-31,27,15009.29,2191,5,4,5,14,Champions
BF-11005,Barry Franz,2014-12-23,25,23347.84,2199,5,4,5,14,Champions
PW-19030,Pauline Webber,2014-12-24,31,12810.06,2198,5,5,4,14,Champions
JW-15955,Joni Wasserman,2014-12-26,30,10640.83,2196,5,5,4,14,Champions
ES-14020,Erica Smith,2014-12-31,32,12827.27,2191,5,5,4,14,Champions
BN-11470,Brad Norvell,2014-12-20,29,23378.1,2202,4,5,5,14,Champions
CS-12460,Chuck Sachs,2014-12-25,23,20084.22,2197,5,4,5,14,Champions
MP-17470,Mark Packer,2014-12-26,28,12928.8,2196,5,5,4,14,Champions
JL-15835,John Lee,2014-12-10,30,22594.04,2212,4,5,5,14,Champions
Dp-13240,Dean percer,2014-12-13,28,22225.61,2209,4,5,5,14,Champions
GH-14425,Gary Hwang,2014-12-13,31,20039.76,2209,4,5,5,14,Champions
BD-11725,Bruce Degenhardt,2014-12-27,30,10877.83,2195,5,5,4,14,Champions
VG-21805,Vivek Grady,2014-12-29,23,22573.37,2193,5,4,5,14,Champions
CS-12490,Cindy Schnelling,2014-12-29,30,11110.5,2193,5,5,4,14,Champions
AT-10735,Annie Thurman,2014-12-29,29,12984.1,2193,5,5,4,14,Champions
BS-11365,Bill Shonely,2014-12-31,26,22551.03,2191,5,4,5,14,Champions
JF-15415,Jennifer Ferguson,2014-12-29,23,14717.47,2193,5,4,5,14,Champions
GH-14665,Greg Hansen,2014-12-29,29,12921.45,2193,5,5,4,14,Champions
LO-17170,Lori Olson,2014-12-29,28,11256.32,2193,5,5,4,14,Champions
BF-11170,Ben Ferrer,2014-12-15,31,22314.84,2207,4,5,5,14,Champions
AB-10255,Alejandro Ballentine,2014-12-26,31,10786.72,2196,5,5,4,14,Champions
AR-10825,Anthony Rawles,2014-12-09,38,15311.04,2213,4,5,5,14,Champions
MZ-17335,Maria Zettner,2014-12-10,26,14463.93,2212,4,4,5,13,Champions
TC-21295,Toby Carlisle,2014-12-04,29,19391.9,2218,3,5,5,13,Champions
LR-16915,Lena Radford,2014-12-05,26,22434.09,2217,4,4,5,13,Champions
AH-10030,Aaron Hawkins,2014-12-19,27,14439.5,2203,4,4,5,13,Champions
JC-15775,John Castell,2014-12-30,25,10582.79,2192,5,4,4,13,Champions
DS-13180,David Smith,2014-12-17,31,13447.41,2205,4,5,4,13,Champions
NG-18430,Nathan Gelder,2014-12-04,28,18970.41,2218,3,5,5,13,Champions
SC-20770,Stewart Carmichael,2014-11-21,32,14495.11,2231,3,5,5,13,Champions
CM-12160,Charles McCrossin,2014-12-05,26,17910.04,2217,4,4,5,13,Champions
RO-19780,Rose O'Brian,2014-11-26,29,18833.44,2226,3,5,5,13,Champions
RF-19735,Roland Fjeld,2014-12-30,23,12139.09,2192,5,4,4,13,Champions
JL-15235,Janet Lee,2014-12-18,24,18725.39,2204,4,4,5,13,Champions
MW-18235,Mitch Willingham,2014-12-15,24,17933.06,2207,4,4,5,13,Champions
TA-21385,Tom Ashbrook,2014-12-13,25,35668.12,2209,4,4,5,13,Champions
NF-18595,Nicole Fjeld,2014-12-20,22,10535.3,2202,5,4,4,13,Champions
BG-11035,Barry Gonzalez,2014-12-03,33,19899.15,2219,3,5,5,13,Champions
TC-20980,Tamara Chand,2014-12-04,28,34218.27,2218,3,5,5,13,Champions
MJ-17740,Max Jones,2014-12-10,26,15347.66,2212,4,4,5,13,Champions
MC-17575,Matt Collins,2014-12-04,33,14281.65,2218,3,5,5,13,Champions
GK-14620,Grace Kelly,2014-12-19,24,19215.77,2203,4,4,5,13,Champions
AA-10645,Anna Andreadi,2014-12-03,36,15343.89,2219,3,5,5,13,Champions
MV-17485,Mark Van Huff,2014-12-15,27,10563.37,2207,4,5,4,13,Champions
NH-18610,Nicole Hansen,2014-12-11,22,19181.93,2211,4,4,5,13,Champions
CC-12670,Craig Carreira,2014-12-15,28,9969.03,2207,4,5,4,13,Champions
RB-19795,Ross Baird,2014-11-29,35,19056.88,2223,3,5,5,13,Champions
FP-14320,Frank Preis,2014-12-08,29,9939.05,2214,4,5,4,13,Champions
SL-20155,Sara Luxemburg,2014-12-02,32,14380.69,2220,3,5,5,13,Champions
FM-14290,Frank Merwin,2014-11-25,30,14382.32,2227,3,5,5,13,Champions
LS-17230,Lycoris Saunders,2014-12-27,24,10577.17,2195,5,4,4,13,Champions
HE-14800,Harold Engle,2014-12-25,27,9902.5,2197,5,4,4,13,Champions
SC-20680,Steve Carroll,2014-12-10,31,13477.06,2212,4,5,4,13,Champions
SV-20785,Stewart Visinsky,2014-12-09,27,14262.94,2213,4,4,5,13,Champions
KB-16240,Karen Bern,2014-12-27,27,9900.7,2195,5,4,4,13,Champions
SC-20845,Sung Chung,2014-12-23,24,9898.63,2199,5,4,4,13,Champions
RA-19915,Russell Applegate,2014-12-19,27,20975.19,2203,4,4,5,13,Champions
JM-15265,Janet Molinari,2014-11-24,29,15036.55,2228,3,5,5,13,Champions
DM-12955,Dario Medina,2014-11-21,32,19862.58,2231,3,5,5,13,Champions
AB-10165,Alan Barnes,2014-12-18,29,11649.27,2204,4,5,4,13,Champions
MH-17785,Maya Herman,2014-12-31,26,11676.13,2191,5,4,4,13,Champions
BE-11335,Bill Eplett,2014-11-26,37,27158.02,2226,3,5,5,13,Champions
CB-12025,Cassandra Brandow,2014-12-22,25,11685.32,2200,5,4,4,13,Champions
AB-10060,Adam Bellavance,2014-11-19,32,18416.55,2233,3,5,5,13,Champions
TC-21145,Theresa Coyne,2014-12-20,25,18419.94,2202,4,4,5,13,Champions
JK-15730,Joe Kamberova,2014-11-13,34,20825.89,2239,3,5,5,13,Champions
DB-13270,Deborah Brumfield,2014-12-22,25,11690.37,2200,5,4,4,13,Champions
SM-20950,Suzanne McNair,2014-12-06,29,11552.78,2216,4,5,4,13,Champions
TC-21535,Tracy Collins,2014-12-31,30,8888.06,2191,5,5,3,13,Champions
RB-19435,Richard Bierner,2014-12-12,28,11618.08,2210,4,5,4,13,Champions
DR-12940,Daniel Raglin,2014-12-04,33,25641.46,2218,3,5,5,13,Champions
NR-18550,Nick Radford,2014-12-29,26,10993.42,2193,5,4,4,13,Champions
CA-11965,Carol Adams,2014-12-13,26,21110.52,2209,4,4,5,13,Champions
JE-15745,Joel Eaton,2014-11-29,35,19629.13,2223,3,5,5,13,Champions
OT-18730,Olvera Toch,2014-11-28,32,19493.77,2224,3,5,5,13,Champions
RP-19855,Roy Phan,2014-12-10,27,11043.08,2212,4,5,4,13,Champions
TB-21400,Tom Boeckenhauer,2014-12-06,26,21375.99,2216,4,4,5,13,Champions
NC-18535,Nick Crebassa,2014-12-25,22,11054.38,2197,5,4,4,13,Champions
SC-20230,Scot Coram,2014-12-15,25,20333.87,2207,4,4,5,13,Champions
BD-11635,Brian Derr,2014-12-22,25,11230.7,2200,5,4,4,13,Champions
NM-18445,Nathan Mautz,2014-12-01,32,20223.24,2221,3,5,5,13,Champions
CM-12190,Charlotte Melton,2014-12-31,25,11375.05,2191,5,4,4,13,Champions
NF-18475,Neil Französisch,2014-12-25,22,10630.91,2197,5,4,4,13,Champions
KH-16510,Keith Herrera,2014-12-09,26,15340.4,2213,4,4,5,13,Champions
KB-16405,Katrina Bavinger,2014-12-12,28,13786.09,2210,4,5,4,13,Champions
PS-19045,Penelope Sewall,2014-12-11,26,29252.32,2211,4,4,5,13,Champions
KB-16600,Ken Brennan,2014-12-30,25,10295.96,2192,5,4,4,13,Champions
RB-19360,Raymond Buch,2014-12-11,25,29197.63,2211,4,4,5,13,Champions
JB-16045,Julia Barnett,2014-12-31,24,13851.28,2191,5,4,4,13,Champions
BN-11515,Bradley Nguyen,2014-12-22,23,10272.23,2200,5,4,4,13,Champions
NP-18685,Nora Pelletier,2014-12-17,30,11363.43,2205,4,5,4,13,Champions
PN-18775,Parhena Norris,2014-12-16,33,11370.47,2206,4,5,4,13,Champions
DV-13045,Darrin Van Huff,2014-12-12,24,18106.01,2210,4,4,5,13,Champions
CS-12400,Christopher Schild,2014-12-30,23,10221.36,2192,5,4,4,13,Champions
AC-10420,Alyssa Crouse,2014-12-25,24,10607.69,2197,5,4,4,13,Champions
TS-21205,Thomas Seio,2014-12-05,32,13888.62,2217,4,5,4,13,Champions
LS-17200,Luke Schmidt,2014-12-16,24,15258.74,2206,4,4,5,13,Champions
NC-18340,Nat Carroll,2014-12-26,22,13905.35,2196,5,4,4,13,Champions
CC-12370,Christopher Conant,2014-11-18,30,28229.85,2234,3,5,5,13,Champions
TR-21325,Toby Ritter,2014-12-30,22,10033.19,2192,5,4,4,13,Champions
QJ-19255,Quincy Jones,2014-12-06,23,18192.92,2216,4,4,5,13,Champions
PS-18970,Paul Stevenson,2014-12-04,33,18222.4,2218,3,5,5,13,Champions
KH-16330,Katharine Harms,2014-12-15,26,15045.64,2207,4,4,5,13,Champions
DK-13225,Dean Katz,2014-12-30,29,9246.47,2192,5,5,3,13,Champions
CS-12355,Christine Sundaresam,2014-12-25,31,9240.9,2197,5,5,3,13,Champions
JF-15490,Jeremy Farry,2014-12-27,30,9234.53,2195,5,5,3,13,Champions
CS-11845,Cari Sayre,2014-12-16,26,20471.05,2206,4,4,5,13,Champions
CS-12250,Chris Selesnick,2014-12-05,30,12496.11,2217,4,5,4,13,Champions
BP-11290,Beth Paige,2014-12-19,29,12448.9,2203,4,5,4,13,Champions
LB-16795,Laurel Beltran,2014-11-22,31,24589.87,2230,3,5,5,13,Champions
NS-18640,Noel Staavos,2014-11-25,37,14866.09,2227,3,5,5,13,Champions
BD-11500,Bradley Drucker,2014-12-12,27,13089.85,2210,4,5,4,13,Champions
NM-18520,Neoma Murray,2014-12-12,27,12328.61,2210,4,5,4,13,Champions
LC-17140,Logan Currie,2014-12-18,30,13128.24,2204,4,5,4,13,Champions
AH-10690,Anna Häberlin,2014-12-01,31,16276.16,2221,3,5,5,13,Champions
TG-21310,Toby Gnade,2014-12-17,32,12305.23,2205,4,5,4,13,Champions
Co-12640,Corey-Lock,2014-12-27,25,12279.23,2195,5,4,4,13,Champions
SS-20590,Sonia Sunley,2014-12-26,26,12181.43,2196,5,4,4,13,Champions
BC-11125,Becky Castell,2014-11-28,28,14789.45,2224,3,5,5,13,Champions
AG-10300,Aleksandra Gannaway,2014-12-29,24,13013.88,2193,5,4,4,13,Champions
ON-18715,Odella Nelson,2014-11-14,33,17763.95,2238,3,5,5,13,Champions
HM-14980,Henry MacAllister,2014-12-06,29,12718.79,2216,4,5,4,13,Champions
JC-15340,Jasper Cacioppo,2014-11-27,29,17836.28,2225,3,5,5,13,Champions
CK-12595,Clytie Kelty,2014-11-18,33,16480.87,2234,3,5,5,13,Champions
PB-19150,Philip Brown,2014-12-26,33,7907.26,2196,5,5,3,13,Champions
JG-15310,Jason Gross,2014-12-29,24,12733.7,2193,5,4,4,13,Champions
MB-18085,Mick Brown,2014-11-17,30,14744.23,2235,3,5,5,13,Champions
JK-15625,Jim Karlsson,2014-12-30,27,12754.41,2192,5,4,4,13,Champions
MD-17860,Michael Dominguez,2014-11-25,28,15575.65,2227,3,5,5,13,Champions
MY-17380,Maribeth Yedwab,2014-12-02,28,14724.15,2220,3,5,5,13,Champions
TH-21550,Tracy Hopkins,2014-12-26,26,12808.91,2196,5,4,4,13,Champions
BF-11215,Benjamin Farhat,2014-12-05,27,12968.94,2217,4,5,4,13,Champions
CW-11905,Carl Weiss,2014-12-23,25,12917.63,2199,5,4,4,13,Champions
SC-20380,Shahid Collister,2014-12-01,37,16122.72,2221,3,5,5,13,Champions
LH-16900,Lena Hernandez,2014-12-10,29,12098.38,2212,4,5,4,13,Champions
KE-16420,Katrina Edelman,2014-12-05,31,12928.69,2217,4,5,4,13,Champions
AC-10450,Amy Cox,2014-12-26,19,16126.39,2196,5,3,5,13,Champions
HW-14935,Helen Wasserman,2014-11-27,28,17199.2,2225,3,5,5,13,Champions
MH-18115,Mick Hernandez,2014-12-26,26,12017.11,2196,5,4,4,13,Champions
LC-17050,Liz Carlisle,2014-12-27,23,12933.87,2195,5,4,4,13,Champions
MP-17965,Michael Paige,2014-12-04,39,17228.5,2218,3,5,5,13,Champions
ML-17410,Maris LaWare,2014-11-28,30,14981.7,2224,3,5,5,13,Champions
CR-12625,Corey Roper,2014-11-18,28,17271.21,2234,3,5,5,13,Champions
CD-11980,Carol Darley,2014-12-30,23,11848.16,2192,5,4,4,13,Champions
RD-19720,Roger Demir,2014-12-10,30,10902.53,2212,4,5,4,13,Champions
LC-16960,Lindsay Castell,2014-12-29,22,11812.1,2193,5,4,4,13,Champions
